"id";"produto";"cod";"cod25";"unid";"material";"tipo";"cme";"ordem"
"208";"FITA ADESIVA PARDA LARGA";"160";"0";"0";"1";"2";"0";"162"
"209";"FITA ADESIVA TRANSPARENTE LARGA";"159";"0";"0";"1";"1";"0";"163"
"210";"FITA CREPE";"161";"0";"0";"1";"2";"0";"165"
"211";"GOMINHA ELÁSTICA";"166";"0";"0";"1";"2";"0";"165"
"212";"LACRE PLÁSTICO";"170";"0";"0";"1";"2";"0";"141"
"213";"LIVRO DE ATA 100 FOLHAS";"173";"0";"0";"1";"2";"0";"166"
"214";"LIVRO DE PROTOCOLO";"174";"0";"0";"1";"2";"0";"167"
"215";"MARCADOR PERMANENTE";"939";"0";"0";"1";"2";"0";"178"
"216";"MOUSE USB (INFORMAR MOTIVO)";"208";"0";"0";"1";"2";"0";"179"
"217";"PAPEL CARBONO";"177";"0";"0";"1";"2";"0";"161"
"218";"PRANCHETA (INFORMAR MOTIVO)";"184";"0";"0";"1";"2";"0";"158"
"219";"SACO PLÁSTICO GRANDE";"1181";"0";"0";"1";"2";"0";"157"
"220";"SACO PLÁSTICO MÉDIO";"1180";"0";"0";"1";"2";"0";"158"
"221";"SACO PLÁSTICO PEQUENO";"1179";"0";"0";"1";"2";"0";"159"
"222";"TECLADO USB (INFORMAR MOTIVO)";"211";"0";"0";"1";"2";"0";"179"
"224";"ALCOOL GEL REFIL";"217";"0";"0";"2";"2";"0";"204"
"225";"BALDE 14 LITROS";"218";"0";"0";"2";"2";"0";"192"
"226";"CERA AUTOMOTIVA";"237";"0";"0";"2";"2";"0";"226"
"227";"CERA LÍQUIDA PRETA";"239";"0";"0";"2";"2";"0";"230"
"228";"DESINFETANTE PINHO ";"262";"0";"0";"2";"2";"0";"213"
"229";"DETERGENTE ENZIMÁTICO";"3774";"0";"0";"2";"2";"0";"196"
"230";"DETERGENTE 500ML";"250";"0";"0";"2";"2";"0";"214"
"232";"ESCOVA PARA LIMPEZA";"238";"0";"0";"2";"2";"0";"219"
"233";"ESPONJA AUTOMOTIVA";"263";"0";"0";"2";"2";"0";"229"
"234";"ESPONJA DE AÇO";"264";"0";"0";"2";"2";"0";"202"
"235";"ESPONJA DUPLA FACE";"265";"0";"0";"2";"2";"0";"201"
"236";"ESTOPA";"266";"0";"0";"2";"2";"0";"228"
"237";"FLANELA BRANCA";"268";"0";"0";"2";"2";"0";"200"
"238";"HIPOCLORITO 1% PASTILHA";"1205";"0";"0";"2";"2";"0";"195"
"239";"INSETICIDA";"274";"0";"0";"2";"2";"0";"194"
"240";"LIMPA VIDROS";"275";"0";"0";"2";"2";"0";"212"
"241";"LUSTRA MÓVEIS";"278";"0";"0";"2";"2";"0";"207"
"242";"LUVA LÁTEX TAMANHOS";"533";"0";"0";"2";"2";"0";"193"
"243";"LIMPADOR MULTIUSO";"1204";"0";"0";"2";"2";"0";"210"
"244";"PANO DE CHÃO";"282";"0";"0";"2";"2";"0";"198"
"245";"PANO MULTIUSO";"535";"0";"0";"2";"2";"0";"199"
"246";"PAPEL HIGIÊNICO";"281";"0";"0";"2";"2";"0";"215"
"247";"PAPEL TOALHA";"294";"0";"0";"2";"2";"0";"216"
"248";"PASTA DE LIMPEZA";"283";"0";"0";"2";"2";"0";"208"
"249";"PASTILHA SANITÁRIA";"284";"0";"0";"2";"2";"0";"211"
"250";"SABÃO EM PÓ";"286";"0";"0";"2";"2";"0";"206"
"251";"SABONETE LÍQUIDO";"287";"0";"0";"2";"2";"0";"203"
"252";"SACO LIXO INFECTANTE 100L";"3746";"0";"0";"2";"2";"0";"218"
"253";"SACO LIXO INFECTANTE 30L";"3747";"0";"0";"2";"2";"0";"217"
"254";"SACO DE LIXO COMUM 200L";"98";"2642";"0";"2";"2";"0";"222"
"255";"SACO DE LIXO COMUM 30L";"3501";"0";"0";"2";"2";"0";"221"
"256";"SAPONÁCEO CREMOSO";"291";"0";"0";"2";"2";"0";"209"
"257";"TRINCHA";"298";"0";"0";"2";"2";"0";"223"
"258";"VASSOURA LAVA ÔNIBUS ";"1202";"0";"0";"2";"2";"0";"224"
"259";"VASSOURA PIAÇAVA";"299";"0";"0";"2";"2";"0";"224"
"260";"XAMPU AUTOMOTIVO";"301";"0";"0";"2";"2";"0";"227"
"261";"OXIGÊNIO RECARGA CILINDRO PEQUENO";"592";"0";"0";"3";"2";"0";NULL
"262";"OXIGÊNIO RECARGA CILINDRO INCUBADORA";"593";"0";"0";"3";"1";"0";NULL
"263";"OXIGÊNIO RECARGA CILINDRO GRANDE";"594";"0";"0";"3";"2";"0";NULL
"264";"PÁS ADULTO DEA INSTRAMED";"3494";"3495";"0";"0";"1";"0";"31"
"265";"PÁS INFANTIL DEA INSTRAMED";"3496";"3497";"0";"0";"2";"0";"32"
"267";"FITA ADESIVA TRANSPARENTE ESTREITA (DUREX)";"158";"0";"0";"1";"2";"0";"164"
"268";"COMPRESSA 45X50 ESTÉRIL";"9998";"9999";"0";"0";"2";"1";NULL
"270";"ALMOTOLIA TRANSPARENTE";"9";"0";"0";"0";"2";"1";NULL
"271";"CIRCUITO RESPIRATÓRIO ADULTO";"1932";"0";"0";"0";"1";"1";NULL
"272";"CIRCUITO RESPIRATÓRIO NEONATAL";"241";"0";"0";"0";"1";"1";NULL
"273";"CIRCUITO RESPIRATÓRIO PEDIÁTRICO";"1935";"0";"0";"0";"1";"1";NULL
"274";"FRASCO DE VIDRO PARA ASPIRADOR";"538";"0";"0";"0";"2";"1";NULL
"276";"ESPAÇADOR UNIVERSAL";"872";"0";"0";"0";"2";"1";NULL
"277";"KIT PEQUENO PROCEDIMENTO";"3981";"0";"2";"0";"2";"1";NULL
"278";"KIT PRONGA NASAL CPAP 0";"1991";"4168";"0";"0";"1";"1";NULL
"279";"KIT PRONGA NASAL CPAP 1";"1990";"4169";"0";"0";"1";"1";NULL
"280";"KIT PRONGA NASAL CPAP 2";"1992";"4170";"0";"0";"1";"1";NULL
"281";"KIT PRONGA NASAL CPAP 3";"1993";"4171";"0";"0";"1";"1";NULL
"282";"KIT PRONGA NASAL CPAP 4";"1994";"4172";"0";"0";"1";"1";NULL
"283";"LÂMINA PARA LARINGOSCÓPIO CURVA 0";"2000";"0";"0";"0";"1";"0";NULL
"284";"LÂMINA PARA LARINGOSCÓPIO CURVA 1";"2001";"1";"0";"0";"1";"0";NULL
"285";"LÂMINA PARA LARINGOSCÓPIO CURVA 2";"2002";"0";"0";"0";"1";"0";NULL
"286";"LÂMINA PARA LARINGOSCÓPIO CURVA 3";"2003";"0";"0";"0";"1";"0";NULL
"287";"LÂMINA PARA LARINGOSCÓPIO CURVA 4";"2004";"0";"0";"0";"1";"0";NULL
"288";"LÂMINA PARA LARINGOSCÓPIO CURVA 5";"2005";"0";"0";"0";"1";"0";NULL
"289";"LÂMINA PARA LARINGOSCÓPIO RETA 0";"2007";"0";"0";"0";"1";"0";NULL
"290";"LÂMINA PARA LARINGOSCÓPIO RETA 00";"2006";"0";"0";"0";"1";"0";NULL
"291";"LÂMINA PARA LARINGOSCÓPIO RETA 1";"2008";"0";"0";"0";"1";"0";NULL
"292";"LÂMINA PARA LARINGOSCÓPIO RETA 2";"2009";"0";"0";"0";"1";"0";NULL
"293";"LÂMINA PARA LARINGOSCÓPIO RETA 3";"2010";"0";"0";"0";"1";"0";NULL
"294";"LÂMINA PARA LARINGOSCÓPIO RETA 4";"2011";"0";"0";"0";"1";"0";NULL
"295";"LÂMINA PARA LARINGOSCÓPIO RETA 5";"2012";"0";"0";"0";"1";"0";NULL
"297";"MÁSCARA Nº 0 PARA REANIMADOR MANUAL";"3748";"0";"0";"0";"2";"0";NULL
"298";"MÁSCARA Nº 1 PARA REANIMADOR MANUAL";"3749";"3755";"0";"0";"2";"0";NULL
"299";"MÁSCARA Nº 3 PARA REANIMADOR MANUAL";"3751";"3757";"0";"0";"2";"0";NULL
"300";"MÁSCARA Nº 4 PARA REANIMADOR MANUAL";"3752";"3758";"0";"0";"2";"0";NULL
"301";"MÁSCARA Nº 5 PARA REANIMADOR MANUAL";"3753";"3759";"0";"0";"2";"0";NULL
"302";"MÁSCARA Nº2 PARA REANIMADOR MANUAL";"3750";"3756";"0";"0";"2";"0";NULL
"306";"ÓCULOS DE PROTEÇÃO";"85";"2633";"0";"0";"2";"1";NULL
"308";"PINÇA MAGYLL 14CM";"384";"0";"0";"0";"2";"1";NULL
"309";"PINÇA MAGYLL 20CM";"255";"2635";"0";"0";"2";"1";NULL
"310";"SONDA RÍGIDA TIPO YANKAUER";"2021";"3137";"0";"0";"2";"1";NULL
"311";"TUBO LARÍNGEO LT 0";"1753";"2666";"0";"0";"2";"1";NULL
"312";"TUBO LARÍNGEO LT 1";"1755";"2667";"0";"0";"1";"1";NULL
"313";"TUBO LARÍNGEO LT 2";"1757";"2668";"0";"0";"1";"1";NULL
"314";"TUBO LARÍNGEO LT 2.5";"1758";"2669";"0";"0";"1";"1";NULL
"315";"TUBO LARÍNGEO LT 3";"1760";"2670";"0";"0";"1";"1";NULL
"317";"TUBO LARÍNGEO LT 5 ";"2672";"1761";"0";"0";"1";"1";NULL
"320";"CATETER NASAL TIPO ÓCULOS PEDIÁTRICO";"21";"3439";"0";"0";"2";"0";"79"
"321";"SONDA ASPIRAÇÃO TRAQUEAL Nº 8";"461";"3519";"0";"0";"2";"0";"2"
"322";"SORO FISIOLÓGICO 100 ML";"4677";"0";"0";"0";"2";"0";"189"
"323";"ÁGUA OXIGENADA ALMOTOLIA 100ML";"4848";"0";"0";"0";"2";"0";"29"
"324";"GUIA DE BOUGIE ADULTO";"3472";"3472";"0";"0";"1";"1";NULL
"325";"GUIA DE BOUGIE PEDIÁTRICO ";"3476";"3476";"0";"0";"1";"1";NULL
"326";"GUIA DE BOUGIE NEONATAL";"3474";"3474";"0";"0";"1";"1";NULL
"327";"LÁTEX DE ASPIRAÇÃO ESTÉRIL";"0";"0";"0";"0";"2";"1";NULL
"330";"DISPOSITIVO PUNÇÃO INTRAÓSSEA ILLINOIS 15G";"3846";"0";"0";"0";"1";"0";"36"
"331";"CLOREXIDINA ALCÓOLICA 0,5%";"3080";"1964";"0";"0";"2";"0";"41"
"332";"CLOREXIDINA DERGEMANTE 2%";"5169";"3079";"0";"0";"2";"0";"42"
"333";"TUBO ENDOTRAQUEAL 2,0";"3779";"0";"0";"0";"2";"0";"43"
"334";"MÁSCARA FACIAL N95";"77";"2692";"0";"0";"2";"0";"65"
"335";"CATETER UMBILICAL 3,5";"1980";"3428";"0";"0";"1";"0";"93"
"336";"CATETER UMBILICAL 5";"1981";"3430";"0";"0";"1";"0";"94"
"337";"CATETER UMBILICAL 8";"1982";"3434";"0";"0";"1";"0";"95"
"338";"FILTRO BACTERIOLÓGICO ADULTO PARA VENTILADOR";"1988";"0";"0";"0";"1";"0";"96"
"339";"FILTRO BACTERIOLÓGICO NEO PEDIÁTRICO PARA VENTILAD";"1989";"0";"0";"0";"1";"0";"97"
"340";"FILTRO BACTERIOLÓGICO NEO NATAL PARA VENTILADOR";"3153";"0";"0";"0";"1";"0";"98"
"341";"CATETER CENTRAL MONOLUMEN 14";"1977";"0";"0";"0";"1";"0";"99"
